,FADE IN,FUNCTION 1 TYPE,FUNCTION 1 NAME,FUNCTION 2 TYPE,FUNCTION 2 NAME,FUNCTION 3 TYPE,FUNCTION 3 NAME
LFX1,SLOW,SCENE,TAB WARMER,SCENE,BACKSTAGE,,
LFX2,SLOW,SCENE,BLACKOUT,,,,
LFX3,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX4,QUICK,SCENE,RED STAGE WASH,,,,
LFX5,QUICK,SCENE,FULL STAGE WASH,,,,
LFX6,QUICK,CHASER,PARTY CHASE,,,,
LFX7,QUICK,SCENE,SPOTLIGHT FOCUS,,,,
LFX8,QUICK,SCENE,FULL STAGE WASH,,,,
LFX9,QUICK,CHASER,PARTY CHASE,,,,
LFX10,QUICK,SCENE,CS FOCUS,,,,
LFX11,MEDIUM,SCENE,BLACKOUT,,,,
LFX12,MEDIUM,SCENE,EVIL STAGE WASH,,,,
LFX13,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX14,QUICK,CHASER,TWINKLY,,,,
LFX15,QUICK,SCENE,MYSTICAL STAGE WASH,,,,
LFX16,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX17,MEDIUM,SCENE,USR FOCUS,,,,
LFX18,MEDIUM,SCENE,USR FOCUS,SCENE,USL SPOTLIGHT,,
LFX19,QUICK,CHASER,MAGICAL CHASE,,,,
LFX20,QUICK,SCENE,USL FOCUS,,,,
LFX21,MEDIUM,SCENE,BLACKOUT,,,,
LFX22,MEDIUM,SCENE,WORKSHOP TAB WASH,SCENE,BACKSTAGE,,
LFX23,MEDIUM,SCENE,MYSTICAL TAB WASH,,,,
LFX24-ON,QUICK,SCENE,MYSTICAL TAB WASH PULSE,,,,
LFX24-OFF,QUICK,SCENE,MYSTICAL TAB WASH,,,,
LFX25-ON,QUICK,SCENE,MYSTICAL TAB WASH PULSE,,,,
LFX25-OFF,QUICK,SCENE,MYSTICAL TAB WASH,,,,
LFX26-ON,QUICK,SCENE,MYSTICAL TAB WASH PULSE,,,,
LFX26-OFF,QUICK,SCENE,MYSTICAL TAB WASH,,,,
LFX27,QUICK,CHASER,DSL TWINKLE,,,,
LFX28,MEDIUM,SCENE,USL FOCUS,,,,
LFX29,MEDIUM,SCENE,USL FOCUS,SCENE,DSL FOCUS,,
LFX30,MEDIUM,SCENE,CS FOCUS,,,,
LFX31,SLOW,SCENE,BLACKOUT,,,,
LFX33,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX34,QUICK,CHASER,PARTY CHASE,,,,
LFX34-5,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX35,MEDIUM,SCENE,CS FOCUS,,,,
LFX36,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX37,MEDIUM,SCENE,BLACKOUT,,,,
LFX38,MEDIUM,SCENE,EVIL TAB WASH,SCENE,BACKSTAGE,,
LFX39,MEDIUM,SCENE,SPOTLIGHT FOCUS,SCENE,BACKSTAGE,,
LFX40,MEDIUM,SCENE,EVIL TAB WASH,SCENE,BACKSTAGE,,
LFX41,MEDIUM,SCENE,SPOTLIGHT FOCUS,SCENE,BACKSTAGE,,
LFX42,MEDIUM,SCENE,EVIL TAB WASH,SCENE,BACKSTAGE,,
LFX43,MEDIUM,SCENE,SPOTLIGHT FOCUS,SCENE,BACKSTAGE,,
LFX44,MEDIUM,SCENE,EVIL TAB WASH,SCENE,BACKSTAGE,,
LFX45,MEDIUM,SCENE,BLACKOUT,,,,
LFX46,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX47,MEDIUM,SCENE,BLACKOUT,,,,
LFX48,MEDIUM,SCENE,WORKSHOP TAB WASH,SCENE,BACKSTAGE,,
LFX49,SLOW,SCENE,SPOTLIGHT,,,,
LFX50,MEDIUM,SCENE,BLACKOUT,,,,
LFX51,QUICK,SCENE,FULL TAB WASH,SCENE,BACKSTAGE,,
LFX52,MEDIUM,SCENE,DUO TAB SPOT,SCENE,BACKSTAGE,,
LFX53,MEDIUM,SCENE,FULL TAB WASH,SCENE,BACKSTAGE,,
LFX57,SLOW,SCENE,BLACKOUT,,,,
LFX58,MEDIUM,SCENE,FOREST STAGE WASH,,,,
LFX59,MEDIUM,SCENE,EVIL FOREST STAGE WASH,,,,
LFX60,QUICK,SCENE,RED STAGE WASH,,,,
LFX61,MEDIUM,SCENE,FOREST STAGE WASH,,,,
LFX62,MEDIUM,SCENE,BLACKOUT,,,,
LFX63,SLOW,SCENE,TAB WARMER,SCENE,BACKSTAGE,,
LFX64,SLOW,SCENE,BLACKOUT,,,,
MUS27,QUICK,SHOW,The Greatest Showman,,,,
LFX122,MEDIUM,SCENE,FULL TAB WASH,SCENE,BACKSTAGE,,
LFX123,MEDIUM,SCENE,BLACKOUT,,,,
LFX124,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX125,MEDIUM,SCENE,BLACKOUT,,,,
LFX126,MEDIUM,SCENE,DSL FOCUS,SCENE,BACKSTAGE,,
LFX128,MEDIUM,SCENE,WORKSHOP TAB WASH,SCENE,BACKSTAGE,,
LFX129,MEDIUM,CHASER,SPOOKY SEQUENCE,SCENE,BACKSTAGE,,
LFX130,MEDIUM,SCENE,WORKSHOP TAB WASH,SCENE,BACKSTAGE,,
LFX131,MEDIUM,SCENE,BLACKOUT,,,,
LFX132,MEDIUM,SCENE,FULL TAB WASH,SCENE,BACKSTAGE,,
LFX133,SLOW,SCENE,SPOTLIGHT,SCENE,BACKSTAGE,,
LFX134,QUICK,SCENE,BLACKOUT,,,,
LFX135,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX136,MEDIUM,CHASER,TWINKLY,,,,
LFX137,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX138,MEDIUM,CHASER,TWINKLY,,,,
LFX139,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX140,MEDIUM,CHASER,TWINKLY,,,,
LFX141,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX142,MEDIUM,CHASER,TWINKLY,,,,
LFX143,MEDIUM,SCENE,WHALE STAGE WASH,,,,
MUS40,QUICK,SHOW,Whale Montage (Part 1),,,,
LFX166,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX167,MEDIUM,SCENE,SPOTLIGHT FOCUS,,,,
LFX168,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX169,MEDIUM,CHASER,PARTY CHASE,,,,
LFX170,QUICK,SCENE,RED STAGE WASH,,,,
LFX171,QUICK,SCENE,BLACKOUT,,,,
LFX172,SLOW,SCENE,WHALE STAGE WASH,,,,
LFX173,MEDIUM,CHASER,TWINKLY,,,,
LFX174,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX175,MEDIUM,CHASER,TWINKLY,,,,
LFX176,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX177,MEDIUM,CHASER,TWINKLY,,,,
LFX178,MEDIUM,SCENE,WHALE STAGE WASH,,,,
LFX180,QUICK,SCENE,BLACKOUT,,,,
LFX181,QUICK,CHASER,TWINKLY,SCENE,HALF STAGE WASH,,
LFX182,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX183,MEDIUM,SCENE,CS FOCUS,,,,
LFX184,MEDIUM,SCENE,SPOTLIGHT FOCUS,,,,
LFX185,QUICK,CHASER,MAGICAL CHASE,,,,
LFX186,SLOW,SCENE,FULL STAGE WASH,,,,
LFX187,MEDIUM,SCENE,SPOTLIGHT FOCUS,,,,
LFX188,MEDIUM,SCENE,CS FOCUS,,,,
LFX189,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX190,SLOW,SCENE,BLACKOUT,,,,
LFX191,MEDIUM,SCENE,FULL TAB WASH,SCENE,BACKSTAGE,,
LFX192,SLOW,SCENE,BLACKOUT,,,,
LFX193,MEDIUM,CHASER,PARTY CHASE,,,,
LFX194,MEDIUM,SCENE,SPOTLIGHT FOCUS,,,,
LFX195,MEDIUM,CHASER,PARTY CHASE,,,,
LFX196,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX197,MEDIUM,SCENE,BLACKOUT,,,,
LFX198,MEDIUM,SCENE,FULL STAGE WASH,,,,
LFX199,SLOW,SCENE,BLACKOUT,,,,
LFX200,SLOW,SCENE,TAB WARMER,SCENE,BACKSTAGE,,